epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,7349.26,0.8222,0.71009,1.17348,0.92989,0.9068,0.96139,0.84214,0.63244,0.44912,1.02004,0.000205631,0.000205631,0.000205631
150,7398.48,0.81716,0.71804,1.18118,0.93617,0.8967,0.96108,0.84053,0.6423,0.45658,1.02409,0.000201824,0.000201824,0.000201824
151,7447.87,0.80876,0.70256,1.16516,0.93234,0.89216,0.95861,0.83906,0.63835,0.46762,1.0241,0.000198018,0.000198018,0.000198018
152,7497.03,0.81219,0.69433,1.17089,0.94327,0.88204,0.95903,0.84083,0.63242,0.46408,1.01593,0.000194211,0.000194211,0.000194211
153,7546.22,0.81199,0.69045,1.1661,0.92251,0.89933,0.95834,0.84164,0.62361,0.46616,1.01622,0.000190404,0.000190404,0.000190404
154,7595.39,0.80894,0.69026,1.16616,0.92187,0.9077,0.95969,0.84656,0.61686,0.46142,1.01442,0.000186598,0.000186598,0.000186598
155,7644.81,0.80667,0.69737,1.16676,0.9219,0.90974,0.9602,0.84317,0.62883,0.45768,1.01788,0.000182791,0.000182791,0.000182791
156,7693.91,0.8246,0.70072,1.17802,0.92226,0.90604,0.96002,0.83814,0.63881,0.46333,1.0207,0.000178985,0.000178985,0.000178985
157,7743.03,0.80476,0.68811,1.16875,0.93533,0.89533,0.95884,0.83617,0.6487,0.47472,1.02773,0.000175178,0.000175178,0.000175178
158,7792.39,0.8226,0.71282,1.17772,0.92561,0.90668,0.95994,0.84004,0.63781,0.46261,1.02216,0.000171372,0.000171372,0.000171372
159,7841.47,0.80535,0.69168,1.16716,0.93145,0.89881,0.95955,0.83998,0.63171,0.46317,1.01499,0.000167565,0.000167565,0.000167565
160,7890.34,0.79735,0.6895,1.16096,0.92918,0.90315,0.95987,0.8418,0.62845,0.45625,1.01195,0.000163759,0.000163759,0.000163759
161,7939.48,0.80677,0.68046,1.16082,0.93372,0.90211,0.95966,0.84187,0.62737,0.4543,1.01356,0.000159952,0.000159952,0.000159952
162,7988.37,0.82039,0.71081,1.17403,0.93014,0.90871,0.9609,0.84329,0.6301,0.44733,1.017,0.000156145,0.000156145,0.000156145
163,8037.58,0.80738,0.69038,1.16232,0.93104,0.90844,0.96276,0.84461,0.62859,0.44687,1.01689,0.000152339,0.000152339,0.000152339
164,8086.88,0.80354,0.68511,1.16577,0.93401,0.90359,0.96397,0.84679,0.62301,0.44379,1.01156,0.000148532,0.000148532,0.000148532
165,8136.4,0.79803,0.6796,1.15539,0.9395,0.89781,0.96366,0.84725,0.62101,0.44473,1.0108,0.000144726,0.000144726,0.000144726
166,8185.6,0.78951,0.67561,1.15733,0.93322,0.91066,0.96387,0.85007,0.61398,0.44212,1.00737,0.000140919,0.000140919,0.000140919
167,8234.71,0.80975,0.70003,1.17094,0.93047,0.90788,0.9622,0.84907,0.61101,0.44865,1.0067,0.000137113,0.000137113,0.000137113
168,8284.07,0.81051,0.69556,1.16725,0.92657,0.90776,0.96145,0.85072,0.60418,0.44954,1.00609,0.000133306,0.000133306,0.000133306
169,8333.43,0.80683,0.69345,1.16285,0.93411,0.90401,0.96115,0.85087,0.59985,0.44759,1.00393,0.0001295,0.0001295,0.0001295
170,8382.86,0.79842,0.68049,1.1618,0.92979,0.9047,0.96116,0.8512,0.60587,0.45077,1.0051,0.000125693,0.000125693,0.000125693
171,8432.21,0.79043,0.66908,1.15729,0.92834,0.90318,0.96027,0.84836,0.61207,0.45507,1.00602,0.000121887,0.000121887,0.000121887
172,8481.51,0.78298,0.66094,1.15858,0.93064,0.89943,0.96066,0.85181,0.60332,0.45256,1.00361,0.00011808,0.00011808,0.00011808
173,8530.52,0.78897,0.66631,1.15411,0.91877,0.90444,0.9599,0.85192,0.60108,0.45676,1.00094,0.000114273,0.000114273,0.000114273
174,8579.64,0.80032,0.67825,1.16257,0.92776,0.90195,0.95946,0.85018,0.60025,0.45762,1.00041,0.000110467,0.000110467,0.000110467
175,8628.42,0.79553,0.67605,1.16065,0.93845,0.88893,0.95926,0.84784,0.60221,0.4574,1.00125,0.00010666,0.00010666,0.00010666
176,8677.55,0.78468,0.66017,1.15407,0.92349,0.90578,0.95962,0.84885,0.60466,0.45404,1.00337,0.000102854,0.000102854,0.000102854
177,8726.73,0.79936,0.6764,1.16311,0.92805,0.90702,0.96042,0.84952,0.6061,0.45151,1.00468,9.90472e-05,9.90472e-05,9.90472e-05
